symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,fax,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,UpdateTime,address2,lastDividendDate,impliedSharesOutstanding,toCurrency,err,quoteSourceName,averageDailyVolume3Month,regularMarketTime,regularMarketChange,currencySymbol,preMarketPrice,exchangeDataDelayedBy,postMarketChange,postMarketPrice,exchangeName,preMarketChange,regularMarketSource,marketState,preMarketSource,regularMarketChangePercent,postMarketTime,postMarketSource,postMarketChangePercent,preMarketTime,preMarketChangePercent
SWIR,V6V 3A4,Technology,1050.0,"Sierra Wireless, Inc., together with its subsidiaries, provides device-to-cloud Internet of Things (IoT) solutions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The IoT Solutions segment offers recurring connectivity services, cloud management software, and cellular modules and gateways. This segment provides cellular connectivity services that are subscription-based and includes smart SIM and core network platforms; cloud platform for deploying and managing subscriptions, over-the-air updates, and devices and applications; and Octave, a unified data orchestration to provide enhanced data management from the edge of the network to the cloud. It also offers AirVantage Cloud Platform for the deployment of IoT solutions; AirVantage Management Service, a device management application to deploy, monitor, and upgrade wireless devices remotely; IoT embedded cellular wireless modules, such as low power wide area technologies, third and fourth generation, and long-term evolution (LTE) products, as well as 5G cellular embedded modules; and gateway solutions, including LTE networking, such as Wi-Fi, Bluetooth, global navigation satellite system, and FirstNet capability. The Embedded Broadband segment provides high-speed cellular embedded modules for use in mobile computing and enterprise networking markets. This segment offers high-speed 4G LTE, LTE-Advanced, and 5G cellular modules. It also provides Legato platform, an open source embedded platform for IoT application development; and MangOH development kits, an open source hardware design that enables rapid prototyping and shortens time-to-market for IoT developers, as well as professional services to original equipment manufacturers(OEMs). The company serves enterprises, industrial companies, and OEMs through direct and indirect channels, including OEMs, distributors, value-added resellers, and mobile network operators. The company was incorporated in 1993 and is headquartered in Richmond, Canada.",Richmond,604 231 1100,BC,Canada,[],http://www.sierrawireless.com,1,13811 Wireless Way,604 231 1109,Communication Equipment,-0.10678001,-0.124630004,0.35564,-51709000.0,0.049,-0.17548999,-48438000.0,14.0,buy,158571000.0,19647500.0,21.0,19.45,,1.615,-0.08266,10.0,21.0,6.68,-0.20849001,27.0,115485000.0,22049000.0,453628992.0,3.14,USD,12.426,1.234,2.4,NMS,"Sierra Wireless, Inc.","Sierra Wireless, Inc.",America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_34317,39b1bf0d-1ff5-3c27-9951-8de0d2545b89,us_market,,1.391,,-13.024,,,0.08,,36891400.0,,,,8.976,522276.0,0.014199999,,1609372800.0,0.60038,-71479000.0,-1.554,,,2.1668897,0.0068800002,1672444800.0,,1617148800.0,3.48,1620950400.0,29500880.0,1.932762,630843712.0,2,,,,,,,1.5817722,1623715200.0,-2.2,,243.12502,,0.0147,572897.0,,,19.52,19.53,16.92007,,0.0,,19.53,,169975.0,19.52,18.488857,,19.53,169975.0,,,,,,,18.96,USD,,96235.0,,,,717537728.0,,,205184.0,18.96,18.9,1100.0,96235.0,22.22,,,9.78,18.85,False,,1000.0,19.53,19.45,https://logo.clearbit.com/sierrawireless.com,2021-08-07,,,,,,,,,,,,,,,,,,,,,,,,,
ABST,V7X 1K8,Technology,530.0,"Absolute Software Corporation develops, markets, and provides cloud-based endpoint visibility and control platform for the management and security of computing devices, applications, and data for enterprise and public sector organizations. The company offers the Absolute platform to provide the connectivity, visibility, and control of data and devices of the operating system; to recover automatically to a secure operational state without user intervention; to support various other security controls and productivity tools from decay and vulnerabilities; and to enable measurement of the health, compliance, and state of decay of endpoint security controls and productivity tools, as well as for reporting and analytics, geotechnology, and endpoint investigation and recovery applications. It also provides professional, technical support, and investigation services. The company markets its solutions through device original equipment manufacturers, distributors, and value added resellers, as well as directly to corporations, government entities, educational institutions, financial services, healthcare sectors, and consumers. It operates in North America, Europe, and Africa, as well as the Asia-Pacific and Latin American regions. Absolute Software Corporation was founded in 1993 and is headquartered in Vancouver, Canada.",Vancouver,604-730-9851,BC,Canada,[],http://www.absolute.com,1,Four Bentall Centre,604-730-2621,Software—Application,0.15853,0.07707,0.87451,46964168.0,0.176,0.13114001,18415568.0,,none,91580566.0,42730264.0,,14.11,-0.2,1.491,0.05822,,,46.907,,,132729520.0,12447792.0,116165264.0,2.684,USD,2.533,1.384,,NMS,Absolute Software Corporation,Absolute Software Corporation,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_6850153,,us_market,,4.971,,31.357,0.18372488,,,,49510600.0,,,,0.537,246061.0,0.005,,1593475200.0,0.71322,8952796.0,0.19,0.063,0.3202082,26.275604,0.00425,1656547200.0,,1617148800.0,2.91,1623715200.0,37353767.0,0.751633,577452736.0,2,,,,,,-0.011,6.0424404,1626307200.0,,,,,,589165.0,,,14.05,14.05,14.226978,0.018291814,1.28,,14.18,,50642.0,14.05,14.023235,0.257,14.05,50642.0,,,0.25,1628553600.0,,,14.04,USD,74.26316,14907.0,,,,701921664.0,,,80988.0,14.04,15.4,800.0,14907.0,21.2,,3.64,9.36,13.0,False,0.0178,800.0,14.18,14.11,https://logo.clearbit.com/absolute.com,2021-08-08,Suite 1400 1055 Dunsmuir Street PO Box 49211,1613001600.0,,,,,,,,,,,,,,,,,,,,,,,
TRIL,L5L 1J9,Healthcare,33.0,"Trillium Therapeutics Inc., a clinical stage immuno-oncology company, develops therapies for the treatment of cancer. Its include TTI-622, a SIRPa-IgG4 Fc fusion protein that is designed to enhance macrophage-mediated phagocytosis and anti-tumor activity by blocking the CD47, which is in Phase 1 clinical trials; and TTI-621, a SIRPa-IgG1 Fc fusion protein, which is in Phase 1 clinical trials and generates a signal blocking the CD47 for advanced relapsed or refractory hematologic malignancies, and solid tumors and mycosis fungoides. The company was formerly known as Stem Cell Therapeutics Corp. and changed its name to Trillium Therapeutics Inc. in June 2014. Trillium Therapeutics Inc. was incorporated in 2004 is based in Mississauga, Canada.",Mississauga,416 595 0627,ON,Canada,[],http://trilliumtherapeutics.com,1,2488 Dunwin Drive,,Biotechnology,0.0,0.0,1.0,-32520000.0,,-379.0946,-55621000.0,7.87,strong_buy,148000.0,-21882250.0,11.02,6.58,,19.335,-0.16379,2.0,11.02,0.291,-0.30193,14.17,275652000.0,794000.0,148000.0,2.673,USD,0.002,18.696,1.5,NCM,Trillium Therapeutics Inc.,Trillium Therapeutics Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_12631015,202d8d96-b66e-354d-b124-0cbc648e9c8f,us_market,,5008.585,,-13.327,,,-2.92,,103137000.0,,,,2.497,9894108.0,0.0959,,1609372800.0,0.76087,-53910000.0,-0.574,,,2.635162,0.06386,1672444800.0,,1617148800.0,9.81,1620950400.0,86410386.0,1.756097,741270592.0,2,,1416441600.0,1:30,,,,4585.4155,1623715200.0,,,-2.2534246,,0.1089,10487832.0,,,6.7,6.85,9.992179,,0.0,,6.88,,801912.0,6.7,8.252857,,6.85,801912.0,,,,,,,6.4493,USD,,561197.0,,,,678641472.0,,,1122706.0,6.4493,6.48,800.0,561197.0,20.96,,,6.35,6.47,False,,800.0,6.88,6.58,https://logo.clearbit.com/trilliumtherapeutics.com,2021-08-08,,,,,,,,,,,,,,,,,,,,,,,,,
EGLX,M4P 2Y3,Communication Services,120.0,"Enthusiast Gaming Holdings Inc. engages in the media, content, entertainment, and esports businesses the United States, Canada, and internationally. The company operates an online network of approximately 100 gaming related websites; owns and operates Enthusiast Gaming Live Expo, a video-gaming expo; provides management and support services to players involved in professional gaming; and owns and manages esports teams, which cover games comprising Call of Duty, Madden, Fortnite, Overwatch, Apex, and Valorant; and produces and programs approximately 30 weekly shows across AVOD and OTT channels, and represents approximately 500 gaming influencers across YouTube and Twitch. It also operates Luminosity Gaming, an eSports franchise; and hosts other gaming events. The company is headquartered in Toronto, Canada.",Toronto,,ON,Canada,[],http://www.enthusiastgaming.com,1,90 Eglinton Avenue East,,Electronic Gaming & Multimedia,-0.23893999,-0.36308998,0.22228001,-17649992.0,3.208,-0.26594,-22902692.0,,none,18668514.0,-7172018.0,,5.02,,1.983,-0.07914,,,10.062,-0.23305,,24525292.0,18391176.0,95851480.0,0.211,CAD,1.029,1.95,,NMS,Enthusiast Gaming Holdings Inc.,Enthusiast Gaming Holdings Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_587905241,,us_market,,6.02,,-25.193,3.3804536,,,,125558000.0,,,,1.578,624616.0,0.005,,1609372800.0,0.02949,-34803076.0,-0.299,,0.3202082,3.1812422,0.14689,1672444800.0,,1617148800.0,0.64,1623715200.0,92573370.0,,576986944.0,2,,,,,,,6.6198034,1626307200.0,,,,,,517405.0,,,5.2,5.21,6.24495,,0.0,,5.26,,591325.0,5.2,5.2957144,,5.21,591325.0,,,,,,,4.95,USD,,317072.0,,,,634517952.0,,,777934.0,4.95,5.08,900.0,317072.0,8.88,,,1.04,5.0,False,,1000.0,5.26,5.02,https://logo.clearbit.com/enthusiastgaming.com,2021-08-07,Suite 805,,,,,,,,,,,,,,,,,,,,,,,,
PYR,H3J 1R4,Industrials,,"PyroGenesis Canada Inc. designs, develops, manufactures, and commercializes advanced plasma processes and systems in Canada and internationally. It offers DROSRITE, a sustainable process for enhancing metal recovery from dross targeting primarily metallurgical industry; plasma atomized metal powders; PUREVAP, a process to produce high purity metallurgical grade silicon and solar grade silicon from quartz; PUREVAP Nano Silicon Reactor, is designed to transform silicon into spherical silicon nanopowders and nanowires for use in lithium-ion batteries; and plasma atomization process allows to produce and offer to the additive manufacturing market high purity spherical metal powders, including titanium alloy powders. The company also provides plasma torches, including APT high-powered plasma torch for replacing fossil fuel burners; and SPT plasma torches for use in the destruction of refrigerants and other substances. In addition, it offers plasma arc waste destruction systems for waste destruction onboard ships; steam plasma arc refrigerant cracking systems for the destruction of certain refrigerants, including chlorofluorocarbons, hydrofluorocarbons, and hydrochlorofluorocarbons; plasma arc chemical warfare agent destruction systems which are mobile platforms for the onsite destruction of chemical warfare agents; plasma resource recovery systems for land-based waste destruction and waste-to-energy applications; and plasma arc gasification and vitrification. Further, the company provides engineering and manufacturing expertise, cutting-edge contract research, as well as turnkey process equipment packages to the defense, metallurgical, mining, additive manufacturing (including 3D printing), oil and gas, and environmental industries. It also provides installation, commissioning, and start-up services. The company is headquartered in MontrÃ©al, Canada.",Montreal,514 937 0002,QC,Canada,[],http://www.pyrogenesis.com,1,1744 William Street,514 937 5757,Specialty Industrial Machinery,-0.11892,2.0256,0.51713,-7717177.0,7.714,-0.124919996,-2773212.0,,none,10184252.0,-8291836.0,,3.74,,3.276,-0.03711,,,4.223,1.45577,,26274344.0,3046068.0,23320624.0,0.158,CAD,0.152,2.814,,NCM,PyroGenesis Canada Inc.,PyroGenesis Canada Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_2908238,7136ed29-7b23-3809-b224-549bc5a9a73c,us_market,,40.038,,-336.688,,,,,166703008.0,,,,,1231247.0,0.0074,,1609372800.0,0.0047400002,47238336.0,,,,,0.49249,1672444800.0,,1617148800.0,5.64,1619740800.0,70025997.0,2.345418,933706560.0,4,,,,,,,26.734673,1622160000.0,,,,,,990320.0,,,3.87,3.87,5.5411572,,0.0,,3.91,,164887.0,3.87,4.563343,,3.87,164887.0,,,,,,,3.69,USD,,109598.0,,,,623469248.0,,,219292.0,3.69,3.58,800.0,109598.0,12.0,,,2.196,3.56,False,,1000.0,3.91,3.74,https://logo.clearbit.com/pyrogenesis.com,2021-08-08,Suite 200,,,,,,,,,,,,,,,,,,,,,,,,
FLGC,M5H2M5,Healthcare,,"Flora Growth Corp., a cannabis company, cultivates, processes, and supplies cannabis products to pharmacies, medical clinics, and cosmetic companies worldwide. It cultivates, processes, and supplies medicinal-grade cannabis oil, and cannabis oil extracts and related products; manufactures and sells skincare and beauty products, such as gel cleanser, eye cream, moisturizer, and hydrating mask; manufactures dermo cosmetic products; and develops and sells pharmaceutical and over-the-counter products, including dietary supplements, phytotherapeutic and nutraceutical products, supplements, and related products. It also manufactures and sells hemp textiles products focuses on servicing the hospitality, medical, and clothing industries on a B2B basis; designs, produces, and supplies juices, chocolate, and chocolate related products to wholesale distributors, pharmacies, supermarkets, and online distributors; and offers and wellness products. The company's brand includes Mambe, Mind Naturals, Almost Virgin, Flora Lab, and Stardog Loungewear. The company was incorporated in 2019 and is headquartered in Toronto, Canada.",Toronto,416 861 2267,ON,Canada,[],http://floragrowth.ca,1,65 Queen Street West,,Drug Manufacturers—Specialty & Generic,0.0,0.0,0.66981006,-8421000.0,,-116.93397,-12324000.0,,none,71000.0,-3510625.0,,12.56,,6.429,-0.75121003,,,3.994,-1.9182299,,15523000.0,649000.0,106000.0,0.401,USD,0.004,5.995,,NCM,Flora Growth Corp.,Flora Growth Corp.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_640432033,5a352867-09e2-38be-b2af-4f54e3d76276,us_market,,1147.077,,-9.866,,,,,42023800.0,,,,,166271.0,0.004,,1609372800.0,0.0,-14170000.0,,,,,0.20724002,1672444800.0,,1609372800.0,0.14,,30672217.0,,121590184.0,2,,,,,,,4979.424,1622160000.0,,,,,0.0047,,,,11.46,12.07,4.4284515,,0.0,,13.8494,,17158200.0,11.46,4.964686,,12.07,17158200.0,,,,,,,11.6,USD,,8240518.0,,,,527818944.0,,,2860820.0,11.6,9.89,900.0,8240518.0,14.9,,,2.85,9.8,False,,1800.0,13.8494,12.56,https://logo.clearbit.com/floragrowth.ca,2021-08-08,Suite 800,,,,,,,,,,,,,,,,,,,,,,,,
ATY,M5J 2M4,Communication Services,173.0,"AcuityAds Holdings Inc., a technology company, provides digital media solutions. The company offers a programmatic marketing platform that enables advertisers to connect with their audiences across online display, video, social, and mobile campaigns. Its platform also allows advertisers to manage their purchasing of online display advertising in real-time using programmatic ad buying. The company serves Fortune 500 enterprises and small to mid-sized businesses in the United States, Canada, Europe, the Middle East, and Africa. AcuityAds Holdings Inc. is headquartered in Toronto, Canada.",Toronto,416 218 9888,ON,Canada,[],http://www.acuityads.com,1,70 University Avenue,,Internet Content & Information,0.10932,0.044850003,0.52029,20992964.0,0.134,0.090909995,11820848.0,,none,54085238.0,21893940.0,,8.55,5.0,2.167,0.09132,,,41.629,0.18976,,27010140.0,14793958.0,108133040.0,0.494,CAD,2.117,2.088,,NMS,AcuityAds Holdings Inc.,AcuityAds Holdings Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_243226520,,us_market,,4.334,,39.642,4.7,,,,60302900.0,,,,0.65,1093493.0,0.018099999,,1609372800.0,0.077989995,4850097.0,0.076,,0.3202082,13.153847,0.09243,1672444800.0,,1617148800.0,3.67,1623715200.0,45986485.0,2.322222,468596832.0,2,,1449705600.0,50:1,,,5.66,4.768106,1626307200.0,,,,,,594171.0,,,8.8,9.13,12.8453455,,0.0,,9.13,,165928.0,8.8,9.035882,,9.13,165928.0,,,,,,,8.3,USD,112.50001,166200.0,,,,515589792.0,,,247839.0,8.3,9.1,800.0,166200.0,26.17,,,1.4,8.24,False,,1300.0,9.13,8.55,https://logo.clearbit.com/acuityads.com,2021-08-08,Suite 1200,,,,,,,,,,,,,,,,,,,,,,,,
LOOP,J6Y 1Y4,Basic Materials,64.0,"Loop Industries, Inc., a technology company, focuses on depolymerizing waste polyethylene terephthalate (PET) plastics and polyester fibers into base building blocks. It polymerized monomers into virgin-quality PET plastic for use in food-grade plastic packaging, such as plastic bottles for water and carbonated soft drinks, and containers for food and other consumer products; and polyester fibers, including carpets, clothing, and other polyester textiles. The company was incorporated in 2010 and is based in Terrebonne, Canada.",Terrebonne,450 951 8555,QC,Canada,[],http://www.loopindustries.com,1,480 Fernand-Poitras Terrebonne,,Specialty Chemicals,0.0,0.0,0.0,-22490636.0,,0.0,-30227354.0,16.0,buy,,-12851263.0,16.0,10.28,,4.148,-0.44937,1.0,16.0,7.476,-1.01966,16.0,35221952.0,2454124.0,,0.83,USD,,4.081,2.5,NGM,"Loop Industries, Inc.","Loop Industries, Inc.",America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_305586999,9159b357-8e4e-3eb3-9ffd-f90acd6f6e40,us_market,,,,-17.264,,,-0.41,,42433300.0,,,,0.774,2289552.0,0.054,,1614470400.0,0.15276,-36344924.0,-0.887,,,13.281653,0.63206,1677542400.0,,1614470400.0,7.75,1620950400.0,20072658.0,0.957065,521835680.0,2,,1442793600.0,1:4,,,,,1623715200.0,,,-25.07317,,0.0987,2906077.0,,,10.3,10.3,9.952429,,0.0,,10.41,,55800.0,10.3,11.686,,10.3,55800.0,,,,,,,10.2,USD,,33512.0,,,,436214304.0,,,351040.0,10.2,10.4,1100.0,33512.0,18.2,,,5.7,10.31,False,,1000.0,10.41,10.28,https://logo.clearbit.com/loopindustries.com,2021-08-08,,,,,,,,,,,,,,,,,,,,,,,,,
MOGO,V6B 5A1,Technology,,"Mogo Inc. operates as a financial technology company in Canada. The company provides finance app that empowers consumers with solutions to help them get in control of their financial wellness. It offers users a Mogo app and provides access to MogoSpend, a digital spending account with Platinum Prepaid Visa Card (MogoCard); MogoCrypto that enables the buying and selling of bitcoin; free monthly credit score monitoring; MogoProtect, a free ID fraud protection; MogoMortgage, a digital mortgage experience; MogoMoney that provides access to personal loans; and bitcoin rewards program to buy bitcoin through MogoCrypto. The company also operates a digital payments platform. Mogo Inc. was founded in 2003 and is headquartered in Vancouver, Canada.",Vancouver,604 659 4380,BC,Canada,[],http://www.mogo.ca,1,2100-401 West Georgia Street,604 733 4944,Software—Application,0.0,-0.23563999,0.73926,10833000.0,0.949,-0.473,,,none,15985000.0,,,6.08,,4.952,-0.034140002,,,70.167,-0.09333,,95467000.0,98414000.0,26298000.0,1.473,CAD,0.786,4.766,,NMS,Mogo Inc.,Mogo Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_224013466,,us_market,,15.093,,,1.7387388,,,,70302896.0,,,,2.475,2264333.0,0.0322,,1609372800.0,0.13432,-6197000.0,-0.148,,0.3202082,2.4565656,0.15233,1672444800.0,,1617148800.0,1.98,1623715200.0,57076670.0,3.847138,396918848.0,2,,,,,,,16.374224,1626307200.0,,,,,0.037,1288116.0,,,5.63,5.6,7.572806,,0.0,,6.2199,,1486971.0,5.63,6.4105883,,5.6,1486971.0,,,,,,,5.55,USD,,1933015.0,,,,430609344.0,,,1094339.0,5.55,6.11,800.0,1933015.0,12.29,,,1.16,6.03,False,,1000.0,6.2199,6.08,https://logo.clearbit.com/mogo.ca,2021-08-08,,,,,,,,,,,,,,,,,,,,,,,,,
DRTT,T2C 1N6,Industrials,993.0,"DIRTT Environmental Solutions Ltd. designs, manufactures, and installs prefabricated interior solutions for use primarily in commercial spaces across various industries and businesses in the United States, Canada, internationally. Its ICE software interior construction technology provides integration and management, from design through engineering, manufacturing, and installation. The company's interior construction solutions include prefabricated, customized interior modular walls, ceilings, and floors; decorative and functional millwork; power infrastructure; network infrastructure; and pre-installed medical gas piping systems. It offers interior construction solutions through a network of independent distribution partners. It serves commercial, healthcare, education, hospitality, and other industries, as well as medical gas piping systems for healthcare. DIRTT Environmental Solutions Ltd. was incorporated in 2003 and is headquartered in Calgary, Canada.",Calgary,403-723-5000,AB,Canada,[],http://www.dirtt.com,1,7303-30th Street SE,888-453-0330,Engineering & Construction,-0.14438,-0.115439996,0.2865,1151000.0,-0.281,-0.17978,-23099000.0,,none,54283000.0,-29961124.0,,4.58,,3.403,-0.09906,,,66.423,-0.16868,,58656000.0,70032000.0,159991008.0,0.693,USD,1.889,2.656,,NMS,DIRTT Environmental Solutions L,DIRTT Environmental Solutions Ltd.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_34954622,4d3bc10e-6676-3aca-b05e-71d5bb169fb6,us_market,,2.334,,-16.167,,,,,84694896.0,,,,,897249.0,0.0106,,1609372800.0,0.68646,-18469000.0,,,,,0.12782,1672444800.0,,1617148800.0,16.8,1620950400.0,36707622.0,2.147,373446752.0,4,,,,,,,2.4245276,1623715200.0,,,,,0.0128999995,916086.0,,,4.35,4.45,3.309232,,0.0,,4.6883,,130671.0,4.35,4.2311764,,4.45,130671.0,,,,,,,4.41,USD,,74193.0,,,,387902624.0,,,103076.0,4.41,4.49,1800.0,74193.0,4.95,,,1.34,4.48,False,,1400.0,4.6883,4.58,https://logo.clearbit.com/dirtt.com,2021-08-07,,,,,,,,,,,,,,,,,,,,,,,,,
SOLO,V5T 1A4,Consumer Cyclical,119.0,"Electrameccanica Vehicles Corp., a development-stage company, develops, manufactures, and sells electric vehicles in Canada. The company operates in two segments, Electric Vehicles and Custom Build Vehicles. Its flagship product is the SOLO, a single seat vehicle. The company is also developing Tofino, an all-electric two-seater roadster. It also develops and manufactures custom built vehicles. The company sells its vehicles online through electrameccanica.com, as well as through 10 retail locations. Electrameccanica Vehicles Corp. was incorporated in 2015 and is headquartered in Vancouver, Canada.",Vancouver,604 428 7656,BC,Canada,[],http://www.electrameccanica.com,1,102 East 1st Avenue,,Auto Manufacturers,0.0,0.0,-0.18875,-35040856.0,1.114,-46.606842,-29343524.0,6.94,buy,-130934.0,-21776710.0,8.93,3.37,,68.973,-0.12704,5.0,8.88,0.748,-0.43719003,12.15,260365632.0,2012490.0,665254.0,2.306,USD,0.009,65.438,1.6,NCM,Electrameccanica Vehicles Corp.,Electrameccanica Vehicles Corp.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_289636632,ca17c443-abc7-3bd2-819f-bc922fc0c32e,us_market,,326.311,,-7.398,,,-0.26,,112950000.0,,,,2.383,17410656.0,0.1541,,1609372800.0,0.14009,-61808740.0,-0.824,,,1.4141839,0.1516,1672444800.0,,1617148800.0,4.08,1619740800.0,95833037.0,2.705567,217079728.0,4,,1526428800.0,1:2,,,,572.1746,1622160000.0,,,-12.961538,,0.1703,16897342.0,,,3.44,3.46,4.9583573,,0.0,,3.49,,1993600.0,3.44,3.814,,3.46,1993600.0,,,,,,,3.32,USD,,2329494.0,,,,380641472.0,,,3774709.0,3.32,3.38,1400.0,2329494.0,13.6,,,2.34,3.37,False,,1400.0,3.49,3.37,https://logo.clearbit.com/electrameccanica.com,2021-08-08,,,,,,,,,,,,,,,,,,,,,,,,,
GP,V6B 2J2,Consumer Cyclical,,"GreenPower Motor Company Inc. develops, manufactures, and distributes electric vehicles for commercial markets in the United States and Canada. It offers all-electric transit, school, and charter buses. The company is based in Vancouver, Canada.",Vancouver,604 563 4144,BC,Canada,[],http://www.greenpowerbus.com,1,209 Carrall Street,,Auto Manufacturers,-0.62975,-0.87897,0.35389,-9994330.0,-0.518,-0.64858,-5131761.0,,none,4052825.0,-5762321.0,,16.93,,16.821,-0.11667,,,3.338,-0.37865,,20917422.0,1233754.0,8148848.0,1.005,USD,0.485,11.808,,NCM,GreenPower Motor Company Inc.,GreenPower Motor Company Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_247833446,ad2d8ee7-d788-3cf4-9f39-9818f639cb64,us_market,,43.559,,-69.168,,,,,20892600.0,,,,,746861.0,0.0357,,1585612800.0,0.37188,-7162632.0,,,,,0.20733999,1648684800.0,,1609372800.0,5.78,1620950400.0,14056415.0,3.788398,354954240.0,2,,,,,,,43.617638,1623715200.0,,,,,,567545.0,,,17.31,17.57,21.147715,,0.0,,17.57,,66325.0,17.31,17.848286,,17.57,66325.0,,,,,,,16.81,USD,,51561.0,,,,355433504.0,,,173218.0,16.81,17.5,900.0,51561.0,34.45,,,8.22,17.3,False,,800.0,17.57,16.93,https://logo.clearbit.com/greenpowerbus.com,2021-08-08,Suite 240,,,,,,,,,,,,,,,,,,,,,,,,
FUSN,L8P 0A6,Healthcare,51.0,"Fusion Pharmaceuticals Inc., a clinical-stage oncology company, focuses on developing radiopharmaceuticals as precision medicines. The company has developed Targeted Alpha Therapies platform together with its proprietary Fast-Clear linker technology to enable us to connect alpha particle emitting isotopes to antibodies and other targeting molecules in order to selectively deliver the alpha particle payloads to tumors. Its lead product candidate is FPI-1434 that is in Phase 1 clinical trials as a monotherapy in patients with solid tumors expressing insulin-like growth factor 1 receptor. The company is also conducting additional preclinical studies of FPI-1434 in combination with approved checkpoint inhibitors and DNA damage response inhibitors to further assess the anti-tumor activity, and dosing schedule and pharmacodynamics of the combinations. In addition, it is progressing its earlier-stage product candidate, FPI-1966 into clinical development for the treatment of head and neck, and bladder cancers expressing fibroblast growth factor receptor. The company was founded in 2014 and is headquartered in Hamilton, Canada.",Hamilton,289 799 0891,ON,Canada,[],http://fusionpharma.com,1,270 Longwood Road South,,Biotechnology,0.0,0.0,0.0,-42743000.0,,0.0,-46490000.0,20.0,buy,,-31346376.0,22.0,8.11,,30.698,-0.15819,4.0,22.25,2.694,-0.50763,25.0,227220000.0,7518000.0,,5.352,USD,,29.955,1.6,NMS,Fusion Pharmaceuticals Inc.,Fusion Pharmaceuticals Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_421477092,d9536ffd-ba4c-326e-b439-759f4bfcfe15,us_market,,,,-2.553,,,,,42456600.0,,,,,253531.0,0.006,,1609372800.0,0.80399,-85640000.0,,,,,0.09052,1672444800.0,,1617148800.0,8.94,1619740800.0,22242158.0,,118677016.0,2,,,,,,,,1622160000.0,,,,,0.0061000003,219870.0,,,8.25,8.3,9.6530075,,0.0,,8.3,,64828.0,8.25,8.125588,,8.3,64828.0,,,,,,,8.08,USD,,41504.0,,,,348643200.0,,,70623.0,8.08,8.3,1000.0,41504.0,13.89,,,6.607,8.05,False,,2900.0,8.3,8.11,https://logo.clearbit.com/fusionpharma.com,2021-08-07,,,,,,,,,,,,,,,,,,,,,,,,,
